Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR3667001_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 9.0)	(20.0, 20.0)	(21.0, 66.0)	(22.0, 128.0)	(23.0, 168.0)	(24.0, 244.0)	(25.0, 405.0)	(26.0, 510.0)	(27.0, 625.0)	(28.0, 830.0)	(29.0, 989.0)	(30.0, 1218.0)	(31.0, 1585.0)	(32.0, 2139.0)	(33.0, 2790.0)	(34.0, 4135.0)	(35.0, 6293.0)	(36.0, 14863.0)	(37.0, 100626.0)	(38.0, 23199.0)
SRR3667001_2	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 22.0)	(16.0, 102.0)	(17.0, 192.0)	(18.0, 177.0)	(19.0, 117.0)	(20.0, 125.0)	(21.0, 168.0)	(22.0, 221.0)	(23.0, 319.0)	(24.0, 377.0)	(25.0, 485.0)	(26.0, 607.0)	(27.0, 806.0)	(28.0, 872.0)	(29.0, 1084.0)	(30.0, 1280.0)	(31.0, 1651.0)	(32.0, 2141.0)	(33.0, 2743.0)	(34.0, 4113.0)	(35.0, 6462.0)	(36.0, 12463.0)	(37.0, 60871.0)	(38.0, 63443.0)
SRR3667002_1	(19.0, 9.0)	(20.0, 17.0)	(21.0, 34.0)	(22.0, 59.0)	(23.0, 88.0)	(24.0, 134.0)	(25.0, 243.0)	(26.0, 352.0)	(27.0, 499.0)	(28.0, 701.0)	(29.0, 860.0)	(30.0, 1169.0)	(31.0, 1411.0)	(32.0, 1778.0)	(33.0, 2444.0)	(34.0, 3348.0)	(35.0, 5186.0)	(36.0, 11819.0)	(37.0, 70907.0)	(38.0, 22762.0)																	
SRR3667002_2	(14.0, 1.0)	(15.0, 6.0)	(16.0, 62.0)	(17.0, 156.0)	(18.0, 150.0)	(19.0, 92.0)	(20.0, 85.0)	(21.0, 175.0)	(22.0, 182.0)	(23.0, 240.0)	(24.0, 359.0)	(25.0, 403.0)	(26.0, 478.0)	(27.0, 615.0)	(28.0, 783.0)	(29.0, 924.0)	(30.0, 1209.0)	(31.0, 1529.0)	(32.0, 2039.0)	(33.0, 2766.0)	(34.0, 3961.0)	(35.0, 6246.0)	(36.0, 12597.0)	(37.0, 66658.0)	(38.0, 22104.0)												
SRR3667003_1	(19.0, 4.0)	(20.0, 17.0)	(21.0, 43.0)	(22.0, 63.0)	(23.0, 98.0)	(24.0, 153.0)	(25.0, 232.0)	(26.0, 325.0)	(27.0, 488.0)	(28.0, 575.0)	(29.0, 772.0)	(30.0, 998.0)	(31.0, 1347.0)	(32.0, 1670.0)	(33.0, 2324.0)	(34.0, 3328.0)	(35.0, 5274.0)	(36.0, 11698.0)	(37.0, 72844.0)	(38.0, 22725.0)																	
SRR3667003_2	(15.0, 8.0)	(16.0, 59.0)	(17.0, 187.0)	(18.0, 178.0)	(19.0, 134.0)	(20.0, 118.0)	(21.0, 117.0)	(22.0, 129.0)	(23.0, 192.0)	(24.0, 266.0)	(25.0, 329.0)	(26.0, 435.0)	(27.0, 492.0)	(28.0, 601.0)	(29.0, 800.0)	(30.0, 1065.0)	(31.0, 1400.0)	(32.0, 1842.0)	(33.0, 2544.0)	(34.0, 3715.0)	(35.0, 6126.0)	(36.0, 12186.0)	(37.0, 60108.0)	(38.0, 31947.0)													
SRR3667004_1	(18.0, 6.0)	(19.0, 11.0)	(20.0, 28.0)	(21.0, 92.0)	(22.0, 164.0)	(23.0, 269.0)	(24.0, 451.0)	(25.0, 709.0)	(26.0, 1090.0)	(27.0, 1550.0)	(28.0, 1838.0)	(29.0, 2202.0)	(30.0, 2830.0)	(31.0, 3693.0)	(32.0, 4622.0)	(33.0, 5849.0)	(34.0, 8244.0)	(35.0, 12692.0)	(36.0, 28475.0)	(37.0, 163602.0)	(38.0, 23894.0)																
SRR3667004_2	(14.0, 2.0)	(15.0, 51.0)	(16.0, 277.0)	(17.0, 561.0)	(18.0, 419.0)	(19.0, 373.0)	(20.0, 525.0)	(21.0, 665.0)	(22.0, 995.0)	(23.0, 1369.0)	(24.0, 2180.0)	(25.0, 2692.0)	(26.0, 2545.0)	(27.0, 2479.0)	(28.0, 2695.0)	(29.0, 3269.0)	(30.0, 3917.0)	(31.0, 4848.0)	(32.0, 6097.0)	(33.0, 7903.0)	(34.0, 10675.0)	(35.0, 16448.0)	(36.0, 30962.0)	(37.0, 121360.0)	(38.0, 39004.0)												
SRR3667005_1	(2.0, 26.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 8.0)	(20.0, 17.0)	(21.0, 41.0)	(22.0, 70.0)	(23.0, 109.0)	(24.0, 179.0)	(25.0, 240.0)	(26.0, 330.0)	(27.0, 446.0)	(28.0, 554.0)	(29.0, 663.0)	(30.0, 853.0)	(31.0, 1114.0)	(32.0, 1391.0)	(33.0, 1853.0)	(34.0, 2747.0)	(35.0, 4077.0)	(36.0, 8870.0)	(37.0, 61389.0)	(38.0, 11594.0)
SRR3667005_2	(2.0, 22.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 11.0)	(16.0, 54.0)	(17.0, 107.0)	(18.0, 89.0)	(19.0, 110.0)	(20.0, 149.0)	(21.0, 172.0)	(22.0, 199.0)	(23.0, 246.0)	(24.0, 296.0)	(25.0, 409.0)	(26.0, 432.0)	(27.0, 568.0)	(28.0, 633.0)	(29.0, 732.0)	(30.0, 877.0)	(31.0, 1135.0)	(32.0, 1475.0)	(33.0, 1983.0)	(34.0, 2634.0)	(35.0, 4134.0)	(36.0, 8321.0)	(37.0, 50201.0)	(38.0, 21582.0)
