Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR3667018_1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 7.0)	(20.0, 24.0)	(21.0, 42.0)	(22.0, 65.0)	(23.0, 108.0)	(24.0, 179.0)	(25.0, 231.0)	(26.0, 341.0)	(27.0, 423.0)	(28.0, 520.0)	(29.0, 648.0)	(30.0, 820.0)	(31.0, 1056.0)	(32.0, 1245.0)	(33.0, 1641.0)	(34.0, 2444.0)	(35.0, 3993.0)	(36.0, 9228.0)	(37.0, 59038.0)	(38.0, 17736.0)														
SRR3667018_2	(14.0, 3.0)	(15.0, 13.0)	(16.0, 91.0)	(17.0, 126.0)	(18.0, 96.0)	(19.0, 99.0)	(20.0, 137.0)	(21.0, 189.0)	(22.0, 238.0)	(23.0, 270.0)	(24.0, 353.0)	(25.0, 418.0)	(26.0, 553.0)	(27.0, 651.0)	(28.0, 759.0)	(29.0, 899.0)	(30.0, 1092.0)	(31.0, 1462.0)	(32.0, 1678.0)	(33.0, 2209.0)	(34.0, 3079.0)	(35.0, 4915.0)	(36.0, 9769.0)	(37.0, 48518.0)	(38.0, 22175.0)												
SRR3667019_1	(14.0, 4.0)	(15.0, 29.0)	(16.0, 121.0)	(17.0, 147.0)	(18.0, 151.0)	(19.0, 254.0)	(20.0, 450.0)	(21.0, 919.0)	(22.0, 1392.0)	(23.0, 2020.0)	(24.0, 2625.0)	(25.0, 3210.0)	(26.0, 4077.0)	(27.0, 4910.0)	(28.0, 5906.0)	(29.0, 7096.0)	(30.0, 8650.0)	(31.0, 10703.0)	(32.0, 13642.0)	(33.0, 17647.0)	(34.0, 25094.0)	(35.0, 39538.0)	(36.0, 69475.0)	(37.0, 46701.0)													
SRR3667019_2	(11.0, 1.0)	(12.0, 30.0)	(13.0, 96.0)	(14.0, 120.0)	(15.0, 190.0)	(16.0, 347.0)	(17.0, 541.0)	(18.0, 735.0)	(19.0, 978.0)	(20.0, 1253.0)	(21.0, 1551.0)	(22.0, 2079.0)	(23.0, 2802.0)	(24.0, 4067.0)	(25.0, 5872.0)	(26.0, 8240.0)	(27.0, 10809.0)	(28.0, 14329.0)	(29.0, 18342.0)	(30.0, 23337.0)	(31.0, 29810.0)	(32.0, 37046.0)	(33.0, 44146.0)	(34.0, 40386.0)	(35.0, 16638.0)	(36.0, 1014.0)	(37.0, 2.0)										
SRR3667020_1	(13.0, 3.0)	(14.0, 5.0)	(15.0, 16.0)	(16.0, 28.0)	(17.0, 23.0)	(18.0, 21.0)	(19.0, 17.0)	(20.0, 24.0)	(21.0, 65.0)	(22.0, 75.0)	(23.0, 116.0)	(24.0, 201.0)	(25.0, 264.0)	(26.0, 451.0)	(27.0, 523.0)	(28.0, 626.0)	(29.0, 814.0)	(30.0, 1050.0)	(31.0, 1331.0)	(32.0, 1711.0)	(33.0, 2258.0)	(34.0, 3127.0)	(35.0, 4965.0)	(36.0, 11499.0)	(37.0, 67899.0)	(38.0, 13052.0)											
SRR3667020_2	(12.0, 2.0)	(13.0, 33.0)	(14.0, 47.0)	(15.0, 41.0)	(16.0, 108.0)	(17.0, 187.0)	(18.0, 162.0)	(19.0, 279.0)	(20.0, 390.0)	(21.0, 525.0)	(22.0, 689.0)	(23.0, 798.0)	(24.0, 959.0)	(25.0, 1123.0)	(26.0, 1335.0)	(27.0, 1450.0)	(28.0, 1664.0)	(29.0, 1904.0)	(30.0, 2324.0)	(31.0, 2802.0)	(32.0, 3379.0)	(33.0, 4375.0)	(34.0, 5840.0)	(35.0, 8814.0)	(36.0, 17513.0)	(37.0, 47912.0)	(38.0, 5509.0)										
SRR3667021_1	(18.0, 2.0)	(19.0, 6.0)	(20.0, 31.0)	(21.0, 49.0)	(22.0, 91.0)	(23.0, 153.0)	(24.0, 261.0)	(25.0, 461.0)	(26.0, 681.0)	(27.0, 956.0)	(28.0, 1145.0)	(29.0, 1329.0)	(30.0, 1798.0)	(31.0, 2281.0)	(32.0, 2856.0)	(33.0, 3766.0)	(34.0, 5228.0)	(35.0, 7897.0)	(36.0, 17518.0)	(37.0, 108308.0)	(38.0, 13797.0)																
SRR3667021_2	(15.0, 11.0)	(16.0, 110.0)	(17.0, 282.0)	(18.0, 288.0)	(19.0, 187.0)	(20.0, 220.0)	(21.0, 319.0)	(22.0, 402.0)	(23.0, 580.0)	(24.0, 934.0)	(25.0, 1152.0)	(26.0, 1046.0)	(27.0, 1085.0)	(28.0, 1312.0)	(29.0, 1621.0)	(30.0, 1977.0)	(31.0, 2445.0)	(32.0, 3353.0)	(33.0, 4359.0)	(34.0, 6232.0)	(35.0, 9350.0)	(36.0, 18356.0)	(37.0, 85903.0)	(38.0, 27090.0)													
SRR3667022_1	(18.0, 6.0)	(19.0, 11.0)	(20.0, 38.0)	(21.0, 94.0)	(22.0, 172.0)	(23.0, 308.0)	(24.0, 447.0)	(25.0, 757.0)	(26.0, 1141.0)	(27.0, 1571.0)	(28.0, 1744.0)	(29.0, 2065.0)	(30.0, 2618.0)	(31.0, 3423.0)	(32.0, 4208.0)	(33.0, 5617.0)	(34.0, 7573.0)	(35.0, 11543.0)	(36.0, 26208.0)	(37.0, 143533.0)	(38.0, 20738.0)																
SRR3667022_2	(15.0, 17.0)	(16.0, 145.0)	(17.0, 339.0)	(18.0, 309.0)	(19.0, 306.0)	(20.0, 349.0)	(21.0, 397.0)	(22.0, 654.0)	(23.0, 977.0)	(24.0, 1585.0)	(25.0, 1889.0)	(26.0, 1658.0)	(27.0, 1605.0)	(28.0, 1760.0)	(29.0, 2121.0)	(30.0, 2611.0)	(31.0, 3457.0)	(32.0, 4478.0)	(33.0, 5922.0)	(34.0, 8074.0)	(35.0, 12623.0)	(36.0, 24274.0)	(37.0, 109167.0)	(38.0, 49098.0)													
SRR3667023_1	(18.0, 6.0)	(19.0, 14.0)	(20.0, 57.0)	(21.0, 141.0)	(22.0, 220.0)	(23.0, 431.0)	(24.0, 676.0)	(25.0, 1163.0)	(26.0, 2381.0)	(27.0, 4009.0)	(28.0, 2295.0)	(29.0, 2387.0)	(30.0, 2842.0)	(31.0, 3306.0)	(32.0, 4027.0)	(33.0, 5269.0)	(34.0, 6988.0)	(35.0, 10962.0)	(36.0, 26278.0)	(37.0, 140668.0)	(38.0, 18993.0)																
SRR3667023_2	(14.0, 1.0)	(15.0, 23.0)	(16.0, 166.0)	(17.0, 376.0)	(18.0, 325.0)	(19.0, 288.0)	(20.0, 367.0)	(21.0, 622.0)	(22.0, 1199.0)	(23.0, 2581.0)	(24.0, 3632.0)	(25.0, 2667.0)	(26.0, 2045.0)	(27.0, 1761.0)	(28.0, 1866.0)	(29.0, 2121.0)	(30.0, 2701.0)	(31.0, 3470.0)	(32.0, 4507.0)	(33.0, 6067.0)	(34.0, 8044.0)	(35.0, 12448.0)	(36.0, 23767.0)	(37.0, 105278.0)	(38.0, 46791.0)												
SRR3667024_1	(18.0, 4.0)	(19.0, 9.0)	(20.0, 23.0)	(21.0, 52.0)	(22.0, 94.0)	(23.0, 188.0)	(24.0, 261.0)	(25.0, 366.0)	(26.0, 571.0)	(27.0, 746.0)	(28.0, 947.0)	(29.0, 1158.0)	(30.0, 1516.0)	(31.0, 1831.0)	(32.0, 2431.0)	(33.0, 3222.0)	(34.0, 4271.0)	(35.0, 6696.0)	(36.0, 16000.0)	(37.0, 97289.0)	(38.0, 18684.0)																
SRR3667024_2	(14.0, 1.0)	(15.0, 16.0)	(16.0, 90.0)	(17.0, 238.0)	(18.0, 205.0)	(19.0, 164.0)	(20.0, 220.0)	(21.0, 259.0)	(22.0, 405.0)	(23.0, 522.0)	(24.0, 665.0)	(25.0, 823.0)	(26.0, 936.0)	(27.0, 1095.0)	(28.0, 1335.0)	(29.0, 1607.0)	(30.0, 1959.0)	(31.0, 2372.0)	(32.0, 3077.0)	(33.0, 3915.0)	(34.0, 5308.0)	(35.0, 8286.0)	(36.0, 16072.0)	(37.0, 79107.0)	(38.0, 27682.0)												
SRR3667025_1	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 38.0)	(21.0, 74.0)	(22.0, 169.0)	(23.0, 246.0)	(24.0, 360.0)	(25.0, 500.0)	(26.0, 675.0)	(27.0, 876.0)	(28.0, 1138.0)	(29.0, 1405.0)	(30.0, 1717.0)	(31.0, 2092.0)	(32.0, 2774.0)	(33.0, 3759.0)	(34.0, 5326.0)	(35.0, 8664.0)	(36.0, 19699.0)	(37.0, 127248.0)	(38.0, 36416.0)
SRR3667025_2	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 17.0)	(16.0, 120.0)	(17.0, 318.0)	(18.0, 354.0)	(19.0, 237.0)	(20.0, 225.0)	(21.0, 253.0)	(22.0, 325.0)	(23.0, 397.0)	(24.0, 537.0)	(25.0, 616.0)	(26.0, 858.0)	(27.0, 1141.0)	(28.0, 1186.0)	(29.0, 1391.0)	(30.0, 1587.0)	(31.0, 1978.0)	(32.0, 2556.0)	(33.0, 3555.0)	(34.0, 5098.0)	(35.0, 8216.0)	(36.0, 16582.0)	(37.0, 74687.0)	(38.0, 90959.0)
SRR3667026_1	(2.0, 32.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 28.0)	(21.0, 69.0)	(22.0, 111.0)	(23.0, 205.0)	(24.0, 308.0)	(25.0, 402.0)	(26.0, 624.0)	(27.0, 768.0)	(28.0, 906.0)	(29.0, 1163.0)	(30.0, 1561.0)	(31.0, 1955.0)	(32.0, 2370.0)	(33.0, 3092.0)	(34.0, 4267.0)	(35.0, 6592.0)	(36.0, 15101.0)	(37.0, 91052.0)	(38.0, 27465.0)
SRR3667026_2	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 15.0)	(16.0, 140.0)	(17.0, 247.0)	(18.0, 231.0)	(19.0, 177.0)	(20.0, 220.0)	(21.0, 318.0)	(22.0, 398.0)	(23.0, 530.0)	(24.0, 630.0)	(25.0, 717.0)	(26.0, 885.0)	(27.0, 1096.0)	(28.0, 1260.0)	(29.0, 1627.0)	(30.0, 1915.0)	(31.0, 2530.0)	(32.0, 3072.0)	(33.0, 3999.0)	(34.0, 5607.0)	(35.0, 8660.0)	(36.0, 16125.0)	(37.0, 73044.0)	(38.0, 34630.0)
SRR3667027_1	(19.0, 3.0)	(20.0, 15.0)	(21.0, 40.0)	(22.0, 82.0)	(23.0, 114.0)	(24.0, 198.0)	(25.0, 297.0)	(26.0, 390.0)	(27.0, 554.0)	(28.0, 710.0)	(29.0, 866.0)	(30.0, 1091.0)	(31.0, 1324.0)	(32.0, 1738.0)	(33.0, 2303.0)	(34.0, 3229.0)	(35.0, 4931.0)	(36.0, 11631.0)	(37.0, 69442.0)	(38.0, 7946.0)																	
SRR3667027_2	(14.0, 1.0)	(15.0, 14.0)	(16.0, 93.0)	(17.0, 206.0)	(18.0, 179.0)	(19.0, 132.0)	(20.0, 150.0)	(21.0, 180.0)	(22.0, 204.0)	(23.0, 281.0)	(24.0, 406.0)	(25.0, 455.0)	(26.0, 539.0)	(27.0, 611.0)	(28.0, 738.0)	(29.0, 1023.0)	(30.0, 1132.0)	(31.0, 1497.0)	(32.0, 1974.0)	(33.0, 2642.0)	(34.0, 3669.0)	(35.0, 5804.0)	(36.0, 10922.0)	(37.0, 49584.0)	(38.0, 24468.0)												
SRR3667028_1	(19.0, 4.0)	(20.0, 13.0)	(21.0, 36.0)	(22.0, 56.0)	(23.0, 69.0)	(24.0, 126.0)	(25.0, 205.0)	(26.0, 278.0)	(27.0, 352.0)	(28.0, 464.0)	(29.0, 562.0)	(30.0, 787.0)	(31.0, 945.0)	(32.0, 1196.0)	(33.0, 1655.0)	(34.0, 2265.0)	(35.0, 3746.0)	(36.0, 8808.0)	(37.0, 60781.0)	(38.0, 11707.0)																	
SRR3667028_2	(14.0, 1.0)	(15.0, 9.0)	(16.0, 56.0)	(17.0, 147.0)	(18.0, 105.0)	(19.0, 109.0)	(20.0, 173.0)	(21.0, 243.0)	(22.0, 306.0)	(23.0, 392.0)	(24.0, 461.0)	(25.0, 570.0)	(26.0, 696.0)	(27.0, 833.0)	(28.0, 865.0)	(29.0, 1050.0)	(30.0, 1164.0)	(31.0, 1479.0)	(32.0, 1925.0)	(33.0, 2570.0)	(34.0, 3463.0)	(35.0, 5505.0)	(36.0, 11066.0)	(37.0, 46842.0)	(38.0, 14025.0)												
SRR3667029_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 13.0)	(21.0, 39.0)	(22.0, 55.0)	(23.0, 114.0)	(24.0, 179.0)	(25.0, 272.0)	(26.0, 413.0)	(27.0, 517.0)	(28.0, 669.0)	(29.0, 904.0)	(30.0, 1180.0)	(31.0, 1581.0)	(32.0, 1961.0)	(33.0, 2586.0)	(34.0, 3803.0)	(35.0, 5747.0)	(36.0, 13079.0)	(37.0, 84119.0)	(38.0, 25547.0)														
SRR3667029_2	(15.0, 9.0)	(16.0, 54.0)	(17.0, 153.0)	(18.0, 166.0)	(19.0, 158.0)	(20.0, 177.0)	(21.0, 252.0)	(22.0, 345.0)	(23.0, 494.0)	(24.0, 1016.0)	(25.0, 1573.0)	(26.0, 1486.0)	(27.0, 1275.0)	(28.0, 1212.0)	(29.0, 1195.0)	(30.0, 1377.0)	(31.0, 1564.0)	(32.0, 2094.0)	(33.0, 2741.0)	(34.0, 3959.0)	(35.0, 6342.0)	(36.0, 12257.0)	(37.0, 60204.0)	(38.0, 42683.0)													
SRR3667030_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 14.0)	(16.0, 49.0)	(17.0, 85.0)	(18.0, 106.0)	(19.0, 115.0)	(20.0, 214.0)	(21.0, 405.0)	(22.0, 614.0)	(23.0, 954.0)	(24.0, 1312.0)	(25.0, 1610.0)	(26.0, 2058.0)	(27.0, 2385.0)	(28.0, 2929.0)	(29.0, 3537.0)	(30.0, 4402.0)	(31.0, 5482.0)	(32.0, 7122.0)	(33.0, 9554.0)	(34.0, 13353.0)	(35.0, 20662.0)	(36.0, 38618.0)	(37.0, 32107.0)	
SRR3667030_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 14.0)	(13.0, 70.0)	(14.0, 96.0)	(15.0, 131.0)	(16.0, 238.0)	(17.0, 392.0)	(18.0, 455.0)	(19.0, 535.0)	(20.0, 776.0)	(21.0, 1043.0)	(22.0, 1302.0)	(23.0, 1900.0)	(24.0, 2633.0)	(25.0, 3757.0)	(26.0, 5056.0)	(27.0, 6869.0)	(28.0, 9067.0)	(29.0, 11796.0)	(30.0, 14845.0)	(31.0, 17214.0)	(32.0, 19212.0)	(33.0, 20894.0)	(34.0, 19220.0)	(35.0, 9430.0)	(36.0, 742.0)	(37.0, 1.0)	
SRR3667031_1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 34.0)	(22.0, 68.0)	(23.0, 105.0)	(24.0, 195.0)	(25.0, 313.0)	(26.0, 360.0)	(27.0, 505.0)	(28.0, 625.0)	(29.0, 794.0)	(30.0, 996.0)	(31.0, 1262.0)	(32.0, 1687.0)	(33.0, 2253.0)	(34.0, 3232.0)	(35.0, 5206.0)	(36.0, 11691.0)	(37.0, 86482.0)	(38.0, 19673.0)																
SRR3667031_2	(14.0, 2.0)	(15.0, 18.0)	(16.0, 106.0)	(17.0, 329.0)	(18.0, 275.0)	(19.0, 164.0)	(20.0, 148.0)	(21.0, 182.0)	(22.0, 201.0)	(23.0, 290.0)	(24.0, 304.0)	(25.0, 416.0)	(26.0, 473.0)	(27.0, 568.0)	(28.0, 630.0)	(29.0, 779.0)	(30.0, 989.0)	(31.0, 1265.0)	(32.0, 1620.0)	(33.0, 2215.0)	(34.0, 3254.0)	(35.0, 4931.0)	(36.0, 9682.0)	(37.0, 53801.0)	(38.0, 52852.0)												
SRR3667032_1	(17.0, 1.0)	(18.0, 2.0)	(19.0, 12.0)	(20.0, 41.0)	(21.0, 112.0)	(22.0, 226.0)	(23.0, 434.0)	(24.0, 675.0)	(25.0, 1252.0)	(26.0, 2587.0)	(27.0, 4575.0)	(28.0, 2334.0)	(29.0, 2497.0)	(30.0, 2799.0)	(31.0, 3004.0)	(32.0, 3778.0)	(33.0, 4784.0)	(34.0, 6597.0)	(35.0, 10188.0)	(36.0, 24510.0)	(37.0, 130330.0)	(38.0, 18479.0)															
SRR3667032_2	(14.0, 2.0)	(15.0, 8.0)	(16.0, 91.0)	(17.0, 268.0)	(18.0, 225.0)	(19.0, 223.0)	(20.0, 344.0)	(21.0, 622.0)	(22.0, 1249.0)	(23.0, 2635.0)	(24.0, 3716.0)	(25.0, 2681.0)	(26.0, 2075.0)	(27.0, 1657.0)	(28.0, 1518.0)	(29.0, 1839.0)	(30.0, 2296.0)	(31.0, 2866.0)	(32.0, 3782.0)	(33.0, 4997.0)	(34.0, 7043.0)	(35.0, 11135.0)	(36.0, 21276.0)	(37.0, 95996.0)	(38.0, 50673.0)												
SRR3667033_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 4.0)	(20.0, 9.0)	(21.0, 40.0)	(22.0, 46.0)	(23.0, 92.0)	(24.0, 138.0)	(25.0, 169.0)	(26.0, 289.0)	(27.0, 365.0)	(28.0, 451.0)	(29.0, 571.0)	(30.0, 698.0)	(31.0, 907.0)	(32.0, 1124.0)	(33.0, 1511.0)	(34.0, 2164.0)	(35.0, 3363.0)	(36.0, 7791.0)	(37.0, 53067.0)	(38.0, 13077.0)
SRR3667033_2	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 42.0)	(17.0, 107.0)	(18.0, 103.0)	(19.0, 85.0)	(20.0, 119.0)	(21.0, 135.0)	(22.0, 202.0)	(23.0, 219.0)	(24.0, 301.0)	(25.0, 353.0)	(26.0, 440.0)	(27.0, 481.0)	(28.0, 621.0)	(29.0, 718.0)	(30.0, 885.0)	(31.0, 1109.0)	(32.0, 1452.0)	(33.0, 1796.0)	(34.0, 2684.0)	(35.0, 4299.0)	(36.0, 8151.0)	(37.0, 47414.0)	(38.0, 14158.0)
SRR3667034_1	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 22.0)	(21.0, 54.0)	(22.0, 117.0)	(23.0, 162.0)	(24.0, 212.0)	(25.0, 235.0)	(26.0, 350.0)	(27.0, 394.0)	(28.0, 542.0)	(29.0, 690.0)	(30.0, 819.0)	(31.0, 1070.0)	(32.0, 1369.0)	(33.0, 1804.0)	(34.0, 2427.0)	(35.0, 3842.0)	(36.0, 8987.0)	(37.0, 62356.0)	(38.0, 15958.0)
SRR3667034_2	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 32.0)	(16.0, 121.0)	(17.0, 180.0)	(18.0, 106.0)	(19.0, 86.0)	(20.0, 102.0)	(21.0, 119.0)	(22.0, 147.0)	(23.0, 184.0)	(24.0, 255.0)	(25.0, 279.0)	(26.0, 397.0)	(27.0, 437.0)	(28.0, 519.0)	(29.0, 638.0)	(30.0, 793.0)	(31.0, 1012.0)	(32.0, 1319.0)	(33.0, 1802.0)	(34.0, 2607.0)	(35.0, 4067.0)	(36.0, 8396.0)	(37.0, 52533.0)	(38.0, 25287.0)
SRR3667035_1	(19.0, 2.0)	(20.0, 13.0)	(21.0, 49.0)	(22.0, 71.0)	(23.0, 102.0)	(24.0, 158.0)	(25.0, 227.0)	(26.0, 292.0)	(27.0, 414.0)	(28.0, 500.0)	(29.0, 598.0)	(30.0, 780.0)	(31.0, 973.0)	(32.0, 1165.0)	(33.0, 1604.0)	(34.0, 2350.0)	(35.0, 3720.0)	(36.0, 8753.0)	(37.0, 60661.0)	(38.0, 6021.0)																	
SRR3667035_2	(15.0, 4.0)	(16.0, 63.0)	(17.0, 126.0)	(18.0, 98.0)	(19.0, 70.0)	(20.0, 103.0)	(21.0, 132.0)	(22.0, 170.0)	(23.0, 193.0)	(24.0, 264.0)	(25.0, 297.0)	(26.0, 367.0)	(27.0, 426.0)	(28.0, 515.0)	(29.0, 607.0)	(30.0, 758.0)	(31.0, 958.0)	(32.0, 1267.0)	(33.0, 1720.0)	(34.0, 2365.0)	(35.0, 3693.0)	(36.0, 7368.0)	(37.0, 51821.0)	(38.0, 15068.0)													
SRR3667036_1	(16.0, 2.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 24.0)	(21.0, 62.0)	(22.0, 85.0)	(23.0, 158.0)	(24.0, 239.0)	(25.0, 359.0)	(26.0, 434.0)	(27.0, 614.0)	(28.0, 779.0)	(29.0, 972.0)	(30.0, 1196.0)	(31.0, 1419.0)	(32.0, 1814.0)	(33.0, 2497.0)	(34.0, 3637.0)	(35.0, 5716.0)	(36.0, 13509.0)	(37.0, 87856.0)	(38.0, 21930.0)														
SRR3667036_2	(14.0, 1.0)	(15.0, 10.0)	(16.0, 55.0)	(17.0, 157.0)	(18.0, 171.0)	(19.0, 117.0)	(20.0, 116.0)	(21.0, 178.0)	(22.0, 189.0)	(23.0, 242.0)	(24.0, 368.0)	(25.0, 524.0)	(26.0, 679.0)	(27.0, 750.0)	(28.0, 754.0)	(29.0, 900.0)	(30.0, 1031.0)	(31.0, 1261.0)	(32.0, 1686.0)	(33.0, 2320.0)	(34.0, 3072.0)	(35.0, 4895.0)	(36.0, 9725.0)	(37.0, 53952.0)	(38.0, 60159.0)												
SRR3667037_1	(18.0, 1.0)	(19.0, 6.0)	(20.0, 13.0)	(21.0, 35.0)	(22.0, 74.0)	(23.0, 141.0)	(24.0, 176.0)	(25.0, 307.0)	(26.0, 441.0)	(27.0, 565.0)	(28.0, 686.0)	(29.0, 930.0)	(30.0, 1150.0)	(31.0, 1476.0)	(32.0, 1865.0)	(33.0, 2512.0)	(34.0, 3521.0)	(35.0, 5506.0)	(36.0, 11719.0)	(37.0, 76117.0)	(38.0, 32349.0)																
SRR3667037_2	(14.0, 1.0)	(15.0, 11.0)	(16.0, 100.0)	(17.0, 250.0)	(18.0, 264.0)	(19.0, 200.0)	(20.0, 209.0)	(21.0, 280.0)	(22.0, 345.0)	(23.0, 563.0)	(24.0, 1058.0)	(25.0, 1658.0)	(26.0, 1756.0)	(27.0, 1668.0)	(28.0, 1395.0)	(29.0, 1272.0)	(30.0, 1294.0)	(31.0, 1393.0)	(32.0, 1780.0)	(33.0, 2349.0)	(34.0, 3390.0)	(35.0, 5249.0)	(36.0, 10412.0)	(37.0, 45310.0)	(38.0, 57383.0)												
SRR3667038_1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 16.0)	(21.0, 42.0)	(22.0, 78.0)	(23.0, 138.0)	(24.0, 213.0)	(25.0, 322.0)	(26.0, 492.0)	(27.0, 638.0)	(28.0, 780.0)	(29.0, 1028.0)	(30.0, 1271.0)	(31.0, 1592.0)	(32.0, 2190.0)	(33.0, 2826.0)	(34.0, 3937.0)	(35.0, 6086.0)	(36.0, 14256.0)	(37.0, 87029.0)	(38.0, 19693.0)														
SRR3667038_2	(14.0, 2.0)	(15.0, 11.0)	(16.0, 81.0)	(17.0, 217.0)	(18.0, 190.0)	(19.0, 120.0)	(20.0, 126.0)	(21.0, 179.0)	(22.0, 225.0)	(23.0, 314.0)	(24.0, 427.0)	(25.0, 591.0)	(26.0, 645.0)	(27.0, 765.0)	(28.0, 904.0)	(29.0, 1087.0)	(30.0, 1305.0)	(31.0, 1569.0)	(32.0, 2198.0)	(33.0, 2955.0)	(34.0, 4074.0)	(35.0, 6378.0)	(36.0, 12453.0)	(37.0, 68891.0)	(38.0, 36929.0)												
SRR3667039_1	(14.0, 2.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 6.0)	(20.0, 16.0)	(21.0, 35.0)	(22.0, 59.0)	(23.0, 103.0)	(24.0, 156.0)	(25.0, 199.0)	(26.0, 295.0)	(27.0, 324.0)	(28.0, 481.0)	(29.0, 603.0)	(30.0, 667.0)	(31.0, 879.0)	(32.0, 1095.0)	(33.0, 1516.0)	(34.0, 2173.0)	(35.0, 3444.0)	(36.0, 7436.0)	(37.0, 55109.0)	(38.0, 13424.0)												
SRR3667039_2	(13.0, 1.0)	(14.0, 3.0)	(15.0, 10.0)	(16.0, 52.0)	(17.0, 108.0)	(18.0, 88.0)	(19.0, 116.0)	(20.0, 179.0)	(21.0, 267.0)	(22.0, 365.0)	(23.0, 431.0)	(24.0, 521.0)	(25.0, 566.0)	(26.0, 642.0)	(27.0, 800.0)	(28.0, 894.0)	(29.0, 1075.0)	(30.0, 1211.0)	(31.0, 1476.0)	(32.0, 1982.0)	(33.0, 2352.0)	(34.0, 3333.0)	(35.0, 5118.0)	(36.0, 9962.0)	(37.0, 40660.0)	(38.0, 15818.0)											
