Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3667002_2	(1.0, 4.006622516556291)	(2.0, 0.923921821999677)	(3.0, 0.5233403327410757)	(4.0, 0.2681311581327734)	(5.0, 0.22613471167824262)	(6.0, 0.1938297528670651)	(7.0, 0.1922145049265062)	(8.0, 0.12275884348247457)	(9.0, 0.1744467775803586)	('>10', 4.738329833629463)	('>50', 3.6746890647714423)	('>100', 22.02632854143111)	('>500', 20.437732191891456)	('>1k', 42.49151994831207)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667003_1	(1.0, 18.430443758101426)	(2.0, 12.611819680263729)	(3.0, 11.69005745011122)	(4.0, 10.613067899950392)	(5.0, 8.845556817999968)	(6.0, 7.321288546784234)	(7.0, 6.357118852918113)	(8.0, 4.781641568916129)	(9.0, 4.212741442493879)	('>10', 15.136263982460912)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667003_2	(1.0, 4.377570452399622)	(2.0, 0.9393653282977804)	(3.0, 0.40807182064043274)	(4.0, 0.20803661444414218)	(5.0, 0.1800316855766615)	(6.0, 0.21123717774328282)	(7.0, 0.1288226727904111)	(8.0, 0.14722591176046984)	(9.0, 0.22323929011506027)	('>10', 4.512794251788315)	('>50', 2.4604330362143734)	('>100', 31.385523852197988)	('>500', 23.784186016738946)	('>1k', 31.033461889292514)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667004_1	(1.0, 18.449092870676413)	(2.0, 9.276774515746576)	(3.0, 6.8346352230749)	(4.0, 5.289903968952884)	(5.0, 4.359329193209587)	(6.0, 3.6529158136715574)	(7.0, 3.2770261254770103)	(8.0, 2.8271784256092958)	(9.0, 2.4154534121710487)	('>10', 27.74492872963772)	('>50', 6.180449923945241)	('>100', 5.327645428518057)	('>500', 1.6701548924749627)	('>1k', 2.69451147683475)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667004_2	(1.0, 5.403509574512697)	(2.0, 1.0590482290106018)	(3.0, 0.5970012694854582)	(4.0, 0.4269740880100339)	(5.0, 0.33166737193636564)	(6.0, 0.356828344979814)	(7.0, 0.2508472767058949)	(8.0, 0.2226364887480891)	(9.0, 0.2916385511854249)	('>10', 5.395885037226803)	('>50', 5.343275729954138)	('>100', 20.659446229856925)	('>500', 10.166176790146048)	('>1k', 38.05635295508004)	('>5k', 11.438712063161667)	('>10k+', 0.0)
SRR3667005_1	(1.0, 18.08081017272087)	(2.0, 5.258252909746096)	(3.0, 3.1468748705628964)	(4.0, 2.6591558629830594)	(5.0, 2.728534150685499)	(6.0, 2.926314045479021)	(7.0, 3.2255726297477527)	(8.0, 3.2307501139046515)	(9.0, 3.606635463695481)	('>10', 53.98252081348631)	('>50', 1.154578966988361)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667005_2	(1.0, 6.498778113738972)	(2.0, 1.1183365778900718)	(3.0, 0.7797291140289111)	(4.0, 0.5218904030153668)	(5.0, 0.4452636374932693)	(6.0, 0.27958414447251795)	(7.0, 0.36967236880255144)	(8.0, 0.3893468085987657)	(9.0, 0.27958414447251795)	('>10', 5.534730563724475)	('>50', 2.294660978337406)	('>100', 9.224205773930331)	('>500', 1.2291347388476992)	('>1k', 60.33840036449488)	('>5k', 10.696682268152259)	('>10k+', 0.0)
SRR3667006_1	(1.0, 20.57930237758068)	(2.0, 13.691585302228514)	(3.0, 12.244726839084743)	(4.0, 10.583587985391667)	(5.0, 8.63643139300887)	(6.0, 7.423418051725424)	(7.0, 5.6607289259894165)	(8.0, 4.740254900499367)	(9.0, 3.2784899754043377)	('>10', 13.161474249086979)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667006_2	(1.0, 4.3843631214131324)	(2.0, 0.8124021763434448)	(3.0, 0.3745248565253037)	(4.0, 0.2645896996347917)	(5.0, 0.172355966311396)	(6.0, 0.16769769695162853)	(7.0, 0.13043154207348887)	(8.0, 0.17887754341507045)	(9.0, 0.14254304240888424)	('>10', 4.240888425132295)	('>50', 3.997726764552433)	('>100', 30.043974062756206)	('>500', 37.42733099798763)	('>1k', 17.662294104494297)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667007_1	(1.0, 15.473291200386443)	(2.0, 8.856976088881732)	(3.0, 7.091820304323323)	(4.0, 6.394412688189356)	(5.0, 5.801666532485307)	(6.0, 4.9935592947427745)	(7.0, 4.723351581998228)	(8.0, 4.2951453184123665)	(9.0, 3.867442234924724)	('>10', 36.143929635295066)	('>50', 2.3050680299492794)	('>100', 0.05333709041140005)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
