Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3667024_2	(1.0, 3.8149386987637426)	(2.0, 0.9414232631316393)	(3.0, 0.5084453085527536)	(4.0, 0.3581501544522541)	(5.0, 0.2622170773668289)	(6.0, 0.2302393850050205)	(7.0, 0.18355195415678024)	(8.0, 0.18930793878190574)	(9.0, 0.18994749262914193)	('>10', 2.115644126657244)	('>50', 1.266956171374849)	('>100', 7.09840815047423)	('>500', 9.916282401396785)	('>1k', 39.819262082771054)	('>5k', 16.994224828759457)	('>10k+', 16.111000965726312)
SRR3667025_1	(1.0, 16.842401500938088)	(2.0, 9.787992495309568)	(3.0, 7.470450281425892)	(4.0, 6.056285178236398)	(5.0, 4.962476547842401)	(6.0, 4.215759849906191)	(7.0, 3.651031894934334)	(8.0, 3.106941838649156)	(9.0, 2.99296435272045)	('>10', 39.61913696060038)	('>50', 1.2945590994371483)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667025_2	(1.0, 3.8334896810506565)	(2.0, 0.7804878048780488)	(3.0, 0.401031894934334)	(4.0, 0.23639774859287055)	(5.0, 0.1805816135084428)	(6.0, 0.15478424015009382)	(7.0, 0.1575984990619137)	(8.0, 0.13133208255159476)	(9.0, 0.16463414634146342)	('>10', 3.693245778611632)	('>50', 3.7598499061913695)	('>100', 18.41838649155722)	('>500', 10.522045028142589)	('>1k', 57.56613508442777)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667026_1	(1.0, 19.230671912756346)	(2.0, 11.17999063800716)	(3.0, 8.871753349442708)	(4.0, 7.623698493225206)	(5.0, 6.347810685323179)	(6.0, 5.932214111306504)	(7.0, 5.22057614209987)	(8.0, 4.35712207279582)	(9.0, 3.985172627557152)	('>10', 27.20924053995926)	('>50', 0.041749427526789215)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667026_2	(1.0, 5.517882671457308)	(2.0, 1.155067494907835)	(3.0, 0.535151752843389)	(4.0, 0.3314651518793568)	(5.0, 0.26251533975178065)	(6.0, 0.18977012512176916)	(7.0, 0.1328390875852384)	(8.0, 0.11639234340801842)	(9.0, 0.0683172450438369)	('>10', 4.772086079728755)	('>50', 4.055387573852207)	('>100', 24.42531280442291)	('>500', 12.953076173728222)	('>1k', 45.48473615626937)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667027_1	(1.0, 18.716792636384046)	(2.0, 10.774152510663773)	(3.0, 9.412182893062935)	(4.0, 8.781710693706502)	(5.0, 7.459964079922172)	(6.0, 6.6676644466063015)	(7.0, 5.873493975903615)	(8.0, 5.028810895756941)	(9.0, 3.9568210731123252)	('>10', 20.42767342662576)	('>50', 0.6052158946344384)	('>100', 2.295517473621193)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667027_2	(1.0, 5.287921873830727)	(2.0, 1.0345730749083288)	(3.0, 0.5079323505200928)	(4.0, 0.41158422509915443)	(5.0, 0.3040110753573299)	(6.0, 0.1627628526528474)	(7.0, 0.21608171817705607)	(8.0, 0.22450048641772055)	(9.0, 0.18521290129461948)	('>10', 5.895008605851979)	('>50', 3.8876000898001943)	('>100', 35.58426251590212)	('>500', 21.49311531841652)	('>1k', 24.80543291177131)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667028_1	(1.0, 19.559832013183776)	(2.0, 10.498112806336717)	(3.0, 8.787411620860135)	(4.0, 7.837967146882144)	(5.0, 7.282972728722556)	(6.0, 6.851310403487321)	(7.0, 5.916750837276062)	(8.0, 4.9673063632980705)	(9.0, 4.2677156982616555)	('>10', 21.22587847536016)	('>50', 0.4922651639997873)	('>100', 2.312476742331614)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667028_2	(1.0, 5.627558343522407)	(2.0, 1.046196374461751)	(3.0, 0.47206421774493645)	(4.0, 0.2381585242677157)	(5.0, 0.138217000691085)	(6.0, 0.10206793897187816)	(7.0, 0.10419435436712562)	(8.0, 0.11907926213385785)	(9.0, 0.07655095422890862)	('>10', 3.8594439423741425)	('>50', 6.236776354260805)	('>100', 31.745255435649355)	('>500', 31.36037424910956)	('>1k', 18.87406304821647)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667029_1	(1.0, 15.751544269045986)	(2.0, 9.136750101550572)	(3.0, 7.049010407182776)	(4.0, 5.524351126861177)	(5.0, 4.5592705167173255)	(6.0, 3.903744064544143)	(7.0, 3.564074909304834)	(8.0, 3.266426680486882)	(9.0, 3.0822349530065973)	('>10', 39.428235261160054)	('>50', 2.0015967952040117)	('>100', 1.7690810023391648)	('>500', 0.963679912596473)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667029_2	(1.0, 3.395991203619402)	(2.0, 0.932864566554144)	(3.0, 0.5714845993304666)	(4.0, 0.3669827574131918)	(5.0, 0.2871429972126119)	(6.0, 0.20590253946465342)	(7.0, 0.22060986371212865)	(8.0, 0.11205580379028757)	(9.0, 0.1512753351168882)	('>10', 2.5933915089714676)	('>50', 3.112349950275237)	('>100', 16.1822587648649)	('>500', 7.987477763926436)	('>1k', 42.18130629053268)	('>5k', 21.6989060552155)	('>10k+', 0.0)
SRR3667030_1	(1.0, 17.703297447355947)	(2.0, 11.321010224118085)	(3.0, 10.069063579118424)	(4.0, 9.349312749678381)	(5.0, 7.691786850836212)	(6.0, 6.585415397115579)	(7.0, 5.588056063375991)	(8.0, 4.479653327916582)	(9.0, 3.6502132845825717)	('>10', 23.281874195950977)	('>50', 0.21057620691989978)	('>100', 0.06974067303134945)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667030_2	(1.0, 6.659218633624484)	(2.0, 1.2810616832554675)	(3.0, 0.735323989437335)	(4.0, 0.4658406120928973)	(5.0, 0.3927144694969192)	(6.0, 0.2884420069063579)	(7.0, 0.2701604712573634)	(8.0, 0.29250457038391225)	(9.0, 0.17062766605728216)	('>10', 6.099939061547837)	('>50', 3.7998510393391562)	('>100', 26.28817116934119)	('>500', 29.42243889227436)	('>1k', 23.83370573498544)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667031_1	(1.0, 14.574815120964765)	(2.0, 5.944174649799991)	(3.0, 4.2488966301090825)	(4.0, 3.4333623629090586)	(5.0, 3.3248704739693267)	(6.0, 3.086483534326243)	(7.0, 3.099768255420904)	(8.0, 3.082055293961356)	(9.0, 2.803076150973475)	('>10', 50.16974921398734)	('>50', 3.216378585029595)	('>100', 1.3764447134190445)	('>500', 1.6399250151298215)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667031_2	(1.0, 3.7315305474781173)	(2.0, 0.8546503904231922)	(3.0, 0.4760358392253532)	(4.0, 0.3690200304072505)	(5.0, 0.2730748225013654)	(6.0, 0.26126618152833336)	(7.0, 0.18081981489955276)	(8.0, 0.12399073021683617)	(9.0, 0.1527742925886017)	('>10', 3.8178812345934134)	('>50', 3.2171166250904095)	('>100', 14.72758941355337)	('>500', 9.235095280971851)	('>1k', 62.57915479652235)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667032_1	(1.0, 24.470273747017796)	(2.0, 11.922433022986356)	(3.0, 8.77623541969829)	(4.0, 6.650944041748587)	(5.0, 5.136462956796234)	(6.0, 4.392907484364807)	(7.0, 3.6817400110392895)	(8.0, 2.80635169717677)	(9.0, 2.434573960961057)	('>10', 20.305450763398824)	('>50', 2.4053791448655897)	('>100', 4.161173631607038)	('>500', 1.6823512775012885)	('>1k', 1.1737228408380735)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667032_2	(1.0, 5.453956581834438)	(2.0, 1.038240647395047)	(3.0, 0.5802469698974075)	(4.0, 0.4415715934439391)	(5.0, 0.37633942623062994)	(6.0, 0.3448637651277045)	(7.0, 0.31612511803372917)	(8.0, 0.23720788077566976)	(9.0, 0.27917542891290364)	('>10', 7.556439509709557)	('>50', 5.0890213806411)	('>100', 22.267889807815997)	('>500', 27.661175912452045)	('>1k', 28.35774597772983)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667033_1	(1.0, 15.735112601597615)	(2.0, 9.324856191341205)	(3.0, 7.346468245650807)	(4.0, 5.943314935140549)	(5.0, 4.849903351265749)	(6.0, 4.960525396492699)	(7.0, 4.79284566478027)	(8.0, 4.573930459489042)	(9.0, 4.915112135820583)	('>10', 37.55793101842148)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667033_2	(1.0, 4.123291180511889)	(2.0, 0.8104520366100747)	(3.0, 0.3877593795849927)	(4.0, 0.28878176017140594)	(5.0, 0.25035515498730754)	(6.0, 0.16069307622441137)	(7.0, 0.13856866717902142)	(8.0, 0.14904865041104823)	(9.0, 0.13623978201634876)	('>10', 3.093923938610587)	('>50', 3.2837280793684065)	('>100', 20.489531661193787)	('>500', 17.25587461282284)	('>1k', 49.431752020307876)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667034_1	(1.0, 20.46713860351389)	(2.0, 7.9683710291246825)	(3.0, 5.315205174215684)	(4.0, 4.085737384891448)	(5.0, 3.6184015932798297)	(6.0, 3.5907952595981305)	(7.0, 3.9684104667442273)	(8.0, 3.6676986177114355)	(9.0, 4.126160944925364)	('>10', 42.96531461360992)	('>50', 0.050282964920237413)	('>100', 0.176483347465147)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667034_2	(1.0, 6.551574546960345)	(2.0, 0.7394553664740796)	(3.0, 0.36085421883935087)	(4.0, 0.2721195748624613)	(5.0, 0.1626801806242975)	(6.0, 0.24845700313529073)	(7.0, 0.13803166840849485)	(8.0, 0.1735255259992507)	(9.0, 0.20408968114684597)	('>10', 4.618145248752786)	('>50', 4.824206810876895)	('>100', 18.549484353124445)	('>500', 11.520714609666161)	('>1k', 51.6366612111293)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667035_1	(1.0, 20.61546810170373)	(2.0, 7.477417385504166)	(3.0, 4.354855120798616)	(4.0, 2.8127932348252744)	(5.0, 1.842786564616237)	(6.0, 1.2345539439024116)	(7.0, 0.8784326139305619)	(8.0, 0.8863464212632698)	(9.0, 0.8241665065062801)	('>10', 44.7695386250325)	('>50', 9.772421511989418)	('>100', 2.295004126485252)	('>500', 0.7348535380371497)	('>1k', 1.5013623054051304)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667035_2	(1.0, 3.444767277537223)	(2.0, 0.7529422405119103)	(3.0, 0.46804517653443073)	(4.0, 0.38890710320735306)	(5.0, 0.3787322080653002)	(6.0, 0.2916803274055148)	(7.0, 0.2848970639774796)	(8.0, 0.2622861858840288)	(9.0, 0.1424485319887398)	('>10', 5.591670152510373)	('>50', 4.959696109798424)	('>100', 14.382779555244026)	('>500', 4.3073722768023694)	('>1k', 29.874622680971815)	('>5k', 0.0)	('>10k+', 34.469153109561006)
SRR3667036_1	(1.0, 20.919392653790332)	(2.0, 12.328346544601986)	(3.0, 9.773780283577091)	(4.0, 7.946298984034833)	(5.0, 6.785893714413308)	(6.0, 5.752484090655353)	(7.0, 5.050519147035838)	(8.0, 4.342971977224517)	(9.0, 3.805682706263258)	('>10', 20.540499051021545)	('>50', 0.6621915820029027)	('>100', 2.0919392653790334)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667036_2	(1.0, 3.472842469576867)	(2.0, 0.6461426817014625)	(3.0, 0.2553868482750921)	(4.0, 0.21770682148040638)	(5.0, 0.16746678575415874)	(6.0, 0.15072010717874287)	(7.0, 0.09768895835659261)	(8.0, 0.12280897621971643)	(9.0, 0.10676007591827621)	('>10', 3.9501228089762197)	('>50', 4.714887797253545)	('>100', 24.812297644300546)	('>500', 13.109160433180753)	('>1k', 48.17600759182762)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667037_1	(1.0, 14.567662440002865)	(2.0, 8.385987534923705)	(3.0, 6.984741027294218)	(4.0, 5.7797836521240775)	(5.0, 5.165126441722187)	(6.0, 4.698044272512358)	(7.0, 4.392864818396734)	(8.0, 3.8913962318217634)	(9.0, 3.6234687298517088)	('>10', 37.91460706354323)	('>50', 2.1899849559424025)	('>100', 1.4979583064689448)	('>500', 0.908374525395802)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667037_2	(1.0, 3.6979726341428467)	(2.0, 0.8983451536643027)	(3.0, 0.6189555125725338)	(4.0, 0.40404040404040403)	(5.0, 0.27580772261623326)	(6.0, 0.223511712873415)	(7.0, 0.18052869116698902)	(8.0, 0.15473887814313345)	(9.0, 0.16763378465506126)	('>10', 2.723690808797192)	('>50', 2.803925782649187)	('>100', 12.159180457052797)	('>500', 15.852138405329894)	('>1k', 30.46564940181962)	('>5k', 22.167777061394084)	('>10k+', 7.2061035890823115)
SRR3667038_1	(1.0, 11.860259681987717)	(2.0, 5.819007824111725)	(3.0, 4.89217308393393)	(4.0, 4.30466361928265)	(5.0, 3.62811632406966)	(6.0, 3.5965674864690547)	(7.0, 3.283182366303037)	(8.0, 2.882862671415351)	(9.0, 2.334613982444824)	('>10', 46.07532460248465)	('>50', 7.174205670377745)	('>100', 2.4215485571664934)	('>500', 0.8658403208166241)	('>1k', 0.8616338091365434)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667038_2	(1.0, 3.405872290305393)	(2.0, 0.9086065228974453)	(3.0, 0.5363302392102975)	(4.0, 0.33932527552651504)	(5.0, 0.2664124064051151)	(6.0, 0.1934995372837152)	(7.0, 0.17667349056339213)	(8.0, 0.12339100928236912)	(9.0, 0.13881488544266526)	('>10', 2.3682660758854706)	('>50', 1.8810118062761154)	('>100', 7.797470484309711)	('>500', 13.79946156650495)	('>1k', 39.627443282200844)	('>5k', 28.437421127906)	('>10k+', 0.0)
SRR3667039_1	(1.0, 19.76598886743156)	(2.0, 9.617175962739974)	(3.0, 7.180506645461775)	(4.0, 6.261501760763376)	(5.0, 5.861638077927979)	(6.0, 5.070998523230717)	(7.0, 4.771100761104169)	(8.0, 4.334885834374645)	(9.0, 4.058843576053619)	('>10', 29.72850164716574)	('>50', 1.039418380097694)	('>100', 2.309439963648756)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667039_2	(1.0, 5.685561740315801)	(2.0, 1.0882653640804272)	(3.0, 0.5861638077927979)	(4.0, 0.3407929115074406)	(5.0, 0.27831421106440984)	(6.0, 0.21810746336476203)	(7.0, 0.1749403612404862)	(8.0, 0.20901965239123027)	(9.0, 0.24537089628535727)	('>10', 5.008519822787686)	('>50', 3.0319209360445303)	('>100', 22.708167670112463)	('>500', 20.886061569919345)	('>1k', 39.53879359309326)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667040_1	(1.0, 25.995206257095997)	(2.0, 12.26390816197805)	(3.0, 8.96026239434843)	(4.0, 7.0160211933896806)	(5.0, 5.462343887977798)	(6.0, 4.535385391699256)	(7.0, 3.6099407089693454)	(8.0, 2.9186325217610696)	(9.0, 2.4024221016778102)	('>10', 16.815440898196037)	('>50', 2.748580799798158)	('>100', 4.643370758168286)	('>500', 1.4971615995963163)	('>1k', 1.1313233253437618)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667040_2	(1.0, 8.26441276649426)	(2.0, 1.4572978428156933)	(3.0, 0.8114040620663555)	(4.0, 0.4945124258862117)	(5.0, 0.4339598839409613)	(6.0, 0.3572599974769774)	(7.0, 0.236659518102687)	(8.0, 0.27450485681846853)	(9.0, 0.2543206761700517)	('>10', 8.610571464614608)	('>50', 4.3123501955342505)	('>100', 28.18367604390059)	('>500', 23.246120852781633)	('>1k', 23.06294941339725)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667041_1	(1.0, 16.219523846353326)	(2.0, 8.463032806649592)	(3.0, 7.1081832368075055)	(4.0, 6.247412455698967)	(5.0, 5.482181771859347)	(6.0, 4.875274677779648)	(7.0, 4.305673716919242)	(8.0, 3.752451058447792)	(9.0, 3.533618740417556)	('>10', 28.8053393265788)	('>50', 3.2074175511708214)	('>100', 3.958089743998035)	('>500', 2.740180980241398)	('>1k', 1.3016200870779744)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667041_2	(1.0, 5.986269523163925)	(2.0, 1.2165439052242235)	(3.0, 0.6524023784934692)	(4.0, 0.46951133515011173)	(5.0, 0.2752464707033116)	(6.0, 0.2729717064826231)	(7.0, 0.2770662820798624)	(8.0, 0.19290000591438697)	(9.0, 0.18425590187577057)	('>10', 5.497195215715891)	('>50', 5.1750886020663955)	('>100', 21.10571739239228)	('>500', 26.154329103788392)	('>1k', 32.54050217694936)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667042_1	(1.0, 21.211579273672413)	(2.0, 10.859940704707856)	(3.0, 7.945251210148556)	(4.0, 5.845275850283362)	(5.0, 4.697522474187472)	(6.0, 3.9010897298328446)	(7.0, 3.24097256996606)	(8.0, 2.766053842668765)	(9.0, 2.5967522712640387)	('>10', 25.236267099061287)	('>50', 3.101875034774384)	('>100', 5.048445684399615)	('>500', 1.3925650380332404)	('>1k', 2.1564092170001032)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667042_2	(1.0, 8.417785408271136)	(2.0, 1.3885908227420496)	(3.0, 0.7380117795741231)	(4.0, 0.47849552105936677)	(5.0, 0.3755633450175263)	(6.0, 0.28852803014044875)	(7.0, 0.2670672675680187)	(8.0, 0.2893228731986869)	(9.0, 0.24322197582087418)	('>10', 6.868238866235862)	('>50', 4.2043223565506995)	('>100', 23.755871903092736)	('>500', 13.612879636915693)	('>1k', 39.07210021381278)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667043_1	(1.0, 26.501208403048892)	(2.0, 13.114787961413729)	(3.0, 8.70669889074797)	(4.0, 6.874470678151661)	(5.0, 5.091817975253559)	(6.0, 4.93896015368408)	(7.0, 4.424614240565161)	(8.0, 4.081716965152548)	(9.0, 3.959843837144451)	('>10', 22.30588089483795)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667043_2	(1.0, 6.656545000103282)	(2.0, 1.1154489682097044)	(3.0, 0.5887091776662329)	(4.0, 0.3263721055132098)	(5.0, 0.29435458883311644)	(6.0, 0.2044989775051125)	(7.0, 0.1807440457747206)	(8.0, 0.1817768688934333)	(9.0, 0.16731734523145567)	('>10', 4.8387763111689495)	('>50', 6.642085476441305)	('>100', 21.05306645183946)	('>500', 27.626985602445725)	('>1k', 30.123319080374294)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667044_1	(1.0, 12.565728318326236)	(2.0, 5.564882001193169)	(3.0, 4.162215408521442)	(4.0, 3.52123423560914)	(5.0, 3.6523440209775657)	(6.0, 3.0467416790376958)	(7.0, 2.8018646725030174)	(8.0, 3.057840920127086)	(9.0, 2.5909790918045976)	('>10', 40.832720562731524)	('>50', 5.326942020339359)	('>100', 6.311999667022768)	('>500', 1.560137075627454)	('>1k', 5.004370326178948)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667044_2	(1.0, 3.3991425836258444)	(2.0, 0.8560289690192433)	(3.0, 0.48697920279700874)	(4.0, 0.2552825450559818)	(5.0, 0.1977052319047685)	(6.0, 0.15400197011529335)	(7.0, 0.1262538673918171)	(8.0, 0.12209165198329565)	(9.0, 0.09989316980451463)	('>10', 3.885428083854767)	('>50', 3.322141598568198)	('>100', 10.867544431649485)	('>500', 8.52074864381148)	('>1k', 45.61510606712266)	('>5k', 22.091651983295645)	('>10k+', 0.0)
SRR3667045_1	(1.0, 11.908017559976123)	(2.0, 5.427167162675314)	(3.0, 3.545862102540439)	(4.0, 2.6670166244036255)	(5.0, 2.125146580080349)	(6.0, 1.7145106871166165)	(7.0, 1.8076446009846794)	(8.0, 1.571423128537501)	(9.0, 1.6421202358828035)	('>10', 41.615196068055496)	('>50', 10.229067094518223)	('>100', 8.481536201575658)	('>500', 0.21547800981292783)	('>1k', 7.04981394384025)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667045_2	(1.0, 3.2656136889919947)	(2.0, 0.7831715484359852)	(3.0, 0.49657309530562743)	(4.0, 0.32004199492843505)	(5.0, 0.2730517020222759)	(6.0, 0.19558121912293253)	(7.0, 0.19261786731803962)	(8.0, 0.14562757441188048)	(9.0, 0.14097087871847735)	('>10', 2.622989683302359)	('>50', 2.4180950727926205)	('>100', 12.575195052049157)	('>500', 7.747471625906469)	('>1k', 31.75697128512101)	('>5k', 22.912636155432036)	('>10k+', 14.153391556140699)
