.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3667030_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667031_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667031_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667032_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667032_2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667033_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667033_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667034_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667034_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667035_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667035_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667036_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR3667036_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667037_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667037_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667038_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667038_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667039_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667039_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667040_1	1	1	1	0.25	1	1	0.5	0.25	0.5	0.5
SRR3667040_2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	0.5
SRR3667041_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667041_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667042_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667042_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667043_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667043_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667044_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR3667044_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667045_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR3667045_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
