	SRR3666998	SRR3666999	SRR3667000	SRR3667001	SRR3667002	SRR3667003	SRR3667004	SRR3667005	SRR3667006	SRR3667007	SRR3667010	SRR3667011	SRR3667012	SRR3667013	SRR3667014	SRR3667015	SRR3667016	SRR3667017	SRR3667018	SRR3667020	SRR3667021	SRR3667022	SRR3667023	SRR3667024	SRR3667025	SRR3667026	SRR3667027	SRR3667028	SRR3667029	SRR3667031	SRR3667032	SRR3667033	SRR3667034	SRR3667035	SRR3667036	SRR3667037	SRR3667038	SRR3667039	SRR3667040	SRR3667042	SRR3667043	SRR3667044	SRR3667045
ASV_0028	1447	163	25	0	176	861	1481	19	568	848	0	697	34	0	1995	3793	266	80	97	201	778	1232	1418	1842	713	2407	0	3	2225	0	1031	10	24	3293	0	364	2731	0	687	1243	0	0	0
ASV_0029	2741	0	12	0	214	137	550	0	0	0	0	1441	681	132	499	9470	183	122	106	1022	384	828	959	4690	0	0	0	0	115	0	1820	20	70	29	0	118	3446	17	1249	1076	0	0	41
ASV_0030	15	505	0	3	0	0	18	0	336	1558	0	14	0	0	30	0	30	1851	27	0	0	35	0	8774	0	0	0	0	1816	0	6	0	0	67	1703	3613	10999	0	11	20	0	0	30
ASV_0031	1061	0	0	0	0	0	226	0	0	0	30	927	26364	0	94	0	0	0	0	0	134	77	241	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	877	333	0	0	0
ASV_0032	639	0	8445	6797	48	168	82	26	0	0	0	449	89	175	389	6	75	20	1576	1789	111	87	1080	0	0	0	232	215	0	186	494	2746	2490	0	0	0	0	794	357	273	304	62	300
ASV_0033	0	0	8	0	0	951	29	23	0	0	5	0	1340	10123	0	1115	0	0	174	255	20	0	8	0	1982	1915	0	0	1478	81	15	0	0	4687	302	222	0	0	0	0	5197	0	0
ASV_0034	680	0	0	0	19	0	166	0	1255	1635	0	416	3195	8384	171	628	171	0	0	0	41	88	647	4114	0	0	0	0	232	0	467	0	0	0	0	230	6241	0	357	605	21	0	0
ASV_0035	569	91	5891	3202	0	0	728	6	402	1789	1869	221	208	275	1028	23	143	0	631	415	431	1082	709	168	0	0	104	182	1423	101	276	0	0	776	1096	2162	271	863	210	778	1640	0	0
ASV_0036	523	1072	36	72	4	0	918	226	3	33	0	150	0	0	1148	0	320	65	0	0	488	1661	1097	78	61	1127	0	0	1704	58	361	51	123	3150	11093	130	140	34	154	1182	18	0	6
ASV_0037	1412	0	0	0	144	116	737	555	803	1730	427	803	28	120	338	0	8015	5421	259	287	67	338	406	0	454	45	12	29	0	0	826	92	41	0	154	0	0	0	733	1005	1029	0	31
ASV_0038	371	0	0	0	9461	2482	252	58	12	0	0	296	0	0	561	15	56	8	17	0	176	337	285	0	0	0	1677	2640	0	11	353	3104	3064	70	0	7	0	0	236	590	0	0	0
ASV_0039	746	0	0	13	0	0	244	10	6632	13254	570	305	0	78	314	0	12	56	335	160	193	123	122	0	0	0	282	445	0	0	485	0	8	0	0	7	4	533	310	253	0	78	63
